logo,url,category,name,description
https://www.voucherbox.co.uk/uploads/logos/medion.jpg,https://www.voucherbox.co.uk/vouchers/medion,technology,MEDION,"The name MEDION stands for quality laptop computers, desktop monitors, PCs and more. If you are looking for a tablet with WiFi or are simply interested in learning more about the latest gadgets, you should also check out this online store."
https://www.voucherbox.co.uk/uploads/logos/the-office-supplies-supermarket.jpg,https://www.voucherbox.co.uk/vouchers/the-office-supplies-supermarket,office,The Office Supplies Supermarket,
https://www.voucherbox.co.uk/uploads/logos/advanced-mp3-players.jpg,https://www.voucherbox.co.uk/vouchers/advanced-mp3-players,technology,Advanced MP3 Players,"Advanced MP3 Players offers products for all music lovers that like to really enjoy their favourite tunes on the go. Find some amazing MP3 players, headphones as well as other gadgets here and make sure that you take advantage of the amazing deals."
https://www.voucherbox.co.uk/uploads/logos/virgin-media.jpg,https://www.voucherbox.co.uk/vouchers/virgin-media,technology,Virgin Media,"Virgin Media is yet another one of Richard Branson’s brainchildren that allows you to enjoy your broadband connection, TV or phone service at a much lower price. Virgin Media even offers you a discount cell phone plan to meet your mobile needs."
https://www.voucherbox.co.uk/uploads/logos/my-memory.jpg,https://www.voucherbox.co.uk/vouchers/my-memory,technology,MyMemory,"If you want to protect yourself against any data loss, you should now shop the My Memory online store. Score some great deals when purchasing memory cards, micro SD cards or USB memory sticks. You will also find other electronics here."
https://www.voucherbox.co.uk/uploads/logos/novatech.jpg,https://www.voucherbox.co.uk/vouchers/novatech,technology,Novatech,"At Novatech you can purchase your own computer or latest gadget, or even find the components to build your own laptop. A full supplier of gadgetry in all shapes and sizes, Novatech has what you need to tinker and tweak your computer to meet your specific needs."
https://www.voucherbox.co.uk/uploads/logos/case-mate.jpg,https://www.voucherbox.co.uk/vouchers/case-mate,technology,Case-Mate,"Case-Mate, the leader in design of fashion-forward premium cases for smartphones and tablets, including iPhone 5, iPhone 4, BlackBerry, HTC, iPad and iPod. There are various patterns, designs and colours to choose from and one will be spoilt for choice."
https://www.voucherbox.co.uk/uploads/logos/ebay.jpg,https://www.voucherbox.co.uk/vouchers/ebay,technology,eBay,"eBay has become one of the most well-known auction platforms on the internet. From used to brand new clothing, beauty items, electronics or even cars, the choice is yours. With thousands of items on sale, this is an online shopping paradise!"
https://www.voucherbox.co.uk/uploads/logos/currys.jpg,https://www.voucherbox.co.uk/vouchers/currys,technology,Currys,"Currys is one of the leading online stores when it comes to small gadgets and appliances in the UK. Whether you are looking for a new toaster or laptop, some of these deals are almost too good to be true. So shop for your favourite electronics now!"
https://www.voucherbox.co.uk/uploads/logos/zavvi.jpg,https://www.voucherbox.co.uk/vouchers/zavvi,technology,Zavvi,"Savvy gamers now visit Zavvi for their console and video game needs. Order DVDs, Blu-rays, toys or gifts and score free delivery across the UK. You can even find a sports and clothing section here. Visit the Zavvi outlet for great deals!"
https://www.voucherbox.co.uk/uploads/logos/robert-dyas.jpg,https://www.voucherbox.co.uk/vouchers/robert-dyas,technology,Robert Dyas,Robert Dyas brings you a ton of “clever solutions for your home and garden”. Outdoor living and gardening just got a whole lot easier thanks to these innovative product selections. Check out the electricals and kitchen supplies as well.
https://www.voucherbox.co.uk/uploads/logos/go-outdoors.jpg,https://www.voucherbox.co.uk/vouchers/go-outdoors,sports-and-outdoor,GO Outdoors,Go Outdoors first began it&#39;s big adventure in 1969. Ever since they&#39;ve grown in popularity due to their incredible customer service and quality products. Go Outdoors knows that when you&#39;re going to go on an adventure in the great outdoors having the right gear is important.
https://www.voucherbox.co.uk/uploads/logos/ao-com.jpg,https://www.voucherbox.co.uk/vouchers/ao-com,technology,ao.com,"ao.com is the UK&#39;s leading appliances retailer, over 300,000 satisfied customers and counting! They offer 24/7 call support with free delivery services within the Metro. Find your quality brands here at very reasonable prices."
https://www.voucherbox.co.uk/uploads/logos/sky-bet.jpg,https://www.voucherbox.co.uk/vouchers/sky-bet,sports-and-outdoor,Sky Bet,"Sky Bet is an online betting site for various live sports worldwide. All betting within Sky Bet policy are legal and accredited. Just log a user name, deposit funds to your account, and you&#39;re ready to bet. Make your sports viewing more exciting by betting online!"
https://www.voucherbox.co.uk/uploads/logos/dell.jpg,https://www.voucherbox.co.uk/vouchers/dell,office,Dell,"When it comes to computers for your home or work, Dell is one of the names to consider. With innovative technologies and an amazing price point, you should definitely check out this online store if you are looking to buy a new PC or tablet."
https://www.voucherbox.co.uk/uploads/logos/ideal-world.jpg,https://www.voucherbox.co.uk/vouchers/ideal-world,technology,Ideal World,"Ideal World has mastered TV and Web retailing. With a rich history of bringing you some of the most innovative must-have products on the market, Ideal World has become a trusted name in the retail business. Tune in and find a unique gift today for you or a friend."
https://www.voucherbox.co.uk/uploads/logos/kitbag.jpg,https://www.voucherbox.co.uk/vouchers/kitbag,sports-and-outdoor,Kitbag,"Sports fans unite! Head over to Kitbag and shop for your favorite jerseys, sports and training shoes, sporting accessories and more, all courtesy of name brands such as Puma, Nike and Adidas. Sign up today and get 5 pounds off your order!"
https://www.voucherbox.co.uk/uploads/logos/probikekit.jpg,https://www.voucherbox.co.uk/vouchers/probikekit,sports-and-outdoor,ProBikeKit,"If you like to spend your free time outside and on your bike, check out what the road cycling experts at ProBikeKit have in store for you. From bikes and frames to clothing and nutrition items, you will be set for your next bike tour."
